original_feature_index_zero_based,feature_name_zero_based,molecular_side,selected_by_training_only_MI,mean_absolute_shap,rank_by_mean_absolute_shap
712,fd_712,donor,False,,
713,fd_713,donor,False,,
714,fd_714,donor,False,,
715,fd_715,donor,True,0.0010360374418498,418.0
716,fd_716,donor,True,0.000448506852845,494.0
717,fd_717,donor,True,0.005624610650228,175.0
718,fd_718,donor,False,,
719,fd_719,donor,True,0.0004891452222841,489.0
720,fd_720,donor,True,0.0007203846119716,455.0
721,fd_721,donor,True,0.0010641971577255,416.0
722,fd_722,donor,False,,
723,fd_723,donor,True,0.1905129206007305,3.0
724,fd_724,donor,True,0.0029672678152689,276.0
725,fd_725,donor,True,0.0028214498058244,286.0
726,fd_726,donor,True,0.0080143099602092,130.0
727,fd_727,donor,True,0.0040751788375995,216.0
728,fd_728,donor,False,,
729,fd_729,donor,False,,
730,fd_730,donor,True,0.0022938184789005,318.0
731,fd_731,donor,False,,
732,fd_732,donor,True,0.0014204560155222,394.0
733,fd_733,donor,True,0.0076189037425149,140.0
734,fd_734,donor,False,,
735,fd_735,donor,False,,
736,fd_736,donor,True,0.0079827044213621,131.0
737,fd_737,donor,False,,
738,fd_738,donor,False,,
739,fd_739,donor,True,0.0013608887348102,399.0
740,fd_740,donor,False,,
741,fd_741,donor,True,0.0058411267437159,171.0
742,fd_742,donor,False,,
743,fd_743,donor,True,0.0046656201970874,198.0
744,fd_744,donor,False,,
745,fd_745,donor,True,6.426599203859314e-05,577.0
746,fd_746,donor,True,0.0007553752070336,451.0
747,fd_747,donor,True,0.0117786982490005,89.0
748,fd_748,donor,False,,
749,fd_749,donor,True,0.0111171335149037,92.0
750,fd_750,donor,True,0.0053752785602682,184.0
751,fd_751,donor,True,0.0012969964696524,403.0
752,fd_752,donor,False,,
753,fd_753,donor,False,,
754,fd_754,donor,True,0.0105787211622886,96.0
755,fd_755,donor,False,,
756,fd_756,donor,False,,
757,fd_757,donor,False,,
758,fd_758,donor,False,,
759,fd_759,donor,False,,
760,fd_760,donor,False,,
761,fd_761,donor,False,,
762,fd_762,donor,True,0.0023705025076371,308.0
763,fd_763,donor,False,,
764,fd_764,donor,True,0.0002969036440191,523.0
765,fd_765,donor,False,,
766,fd_766,donor,False,,
767,fd_767,donor,False,,
768,fd_768,donor,True,0.0009427271826728,427.0
769,fd_769,donor,False,,
770,fd_770,donor,False,,
771,fd_771,donor,True,0.0128232269853174,83.0
772,fd_772,donor,False,,
773,fd_773,donor,True,0.0005552159480575,480.0
774,fd_774,donor,False,,
775,fd_775,donor,False,,
776,fd_776,donor,False,,
777,fd_777,donor,False,,
778,fd_778,donor,False,,
779,fd_779,donor,False,,
780,fd_780,donor,False,,
781,fd_781,donor,True,0.0006488293193348,465.0
782,fd_782,donor,False,,
783,fd_783,donor,False,,
784,fd_784,donor,False,,
785,fd_785,donor,False,,
786,fd_786,donor,False,,
787,fd_787,donor,False,,
788,fd_788,donor,True,0.0097270499997515,105.0
789,fd_789,donor,False,,
790,fd_790,donor,True,0.0106254062830306,95.0
791,fd_791,donor,False,,
792,fd_792,donor,False,,
