query_source,query_index,nearest_other_source_index,donor_similarity,acceptor_similarity,paired_similarity
in-house,162,483,0.46236559748649597,0.796875,0.6296203136444092
in-house,163,533,0.302752286195755,0.931506872177124,0.6171295642852783
in-house,164,533,0.3207547068595886,0.8243243098258972,0.5725395083427429
in-house,165,533,0.25,0.5,0.375
in-house,166,533,0.302752286195755,0.7411764860153198,0.5219643712043762
in-house,167,533,0.21739129722118378,0.5,0.3586956560611725
in-house,168,483,0.5,1.0,0.75
in-house,169,533,0.33636364340782166,0.6436781883239746,0.4900209307670593
in-house,170,533,0.33636364340782166,0.7948718070983887,0.5656177401542664
in-house,171,504,0.4803921580314636,0.4112149477005005,0.44580355286598206
in-house,172,60,0.5495495200157166,0.3645833432674408,0.4570664167404175
in-house,173,483,0.46236559748649597,0.4099999964237213,0.43618279695510864
in-house,174,533,0.2571428716182709,0.7820512652397156,0.519597053527832
in-house,175,533,0.2708333432674408,1.0,0.6354166865348816
in-house,176,352,0.4736842215061188,0.4112149477005005,0.44244956970214844
in-house,177,533,0.20388349890708923,1.0,0.6019417643547058
in-house,178,47,0.4285714328289032,0.4938271641731262,0.4611992835998535
in-house,179,93,0.5154638886451721,0.5844155550003052,0.549939751625061
in-house,180,533,0.3465346395969391,0.835616409778595,0.5910755395889282
in-house,181,533,0.2522522509098053,0.835616409778595,0.5439343452453613
in-house,182,533,0.2222222238779068,0.835616409778595,0.5289193391799927
in-house,183,533,0.13114753365516663,0.5299999713897705,0.3305737376213074
in-house,184,533,0.2897196114063263,0.8243243098258972,0.557021975517273
in-house,185,483,0.46236559748649597,0.5375000238418579,0.49993282556533813
in-house,186,47,0.3451327383518219,0.46875,0.40694135427474976
in-house,187,93,0.40336135029792786,0.5844155550003052,0.4938884377479553
in-house,188,483,0.5,0.38297873735427856,0.4414893686771393
in-house,189,533,0.33636364340782166,0.6704545617103577,0.5034090876579285
in-house,190,533,0.28947368264198303,0.835616409778595,0.5625450611114502
in-house,191,533,0.302752286195755,0.8125,0.5576261281967163
in-house,192,483,0.5,1.0,0.75
in-house,193,533,0.3619047701358795,0.6436781883239746,0.5027914643287659
in-house,194,418,0.4888888895511627,1.0,0.7444444298744202
in-house,195,453,0.40816327929496765,0.7384615540504456,0.5733124017715454
in-house,196,47,0.4285714328289032,0.47058823704719543,0.4495798349380493
in-house,197,533,0.28828829526901245,0.835616409778595,0.5619523525238037
in-house,198,483,0.46236559748649597,0.796875,0.6296203136444092
in-house,199,533,0.3272727131843567,0.807692289352417,0.5674824714660645
in-house,200,533,0.3207547068595886,0.5321100950241089,0.42643240094184875
in-house,201,533,0.2897196114063263,0.835616409778595,0.5626680254936218
in-house,202,533,0.2288135588169098,0.7307692170143127,0.47979140281677246
in-house,203,533,0.33636364340782166,0.7272727489471436,0.5318182110786438
in-house,204,483,0.5,0.4597701132297516,0.4798850417137146
in-house,205,533,0.33636364340782166,0.7894737124443054,0.5629186630249023
in-house,206,93,0.5154638886451721,0.5375000238418579,0.5264819860458374
in-house,207,533,0.2897196114063263,0.8399999737739563,0.5648598074913025
in-house,208,533,0.36538460850715637,0.8648648858070374,0.6151247620582581
in-house,209,533,0.33636364340782166,0.7407407164573669,0.5385521650314331
in-house,210,533,0.33636364340782166,0.875,0.605681836605072
in-house,211,533,0.33636364340782166,0.7058823704719543,0.5211229920387268
in-house,212,533,0.33636364340782166,1.0,0.668181836605072
in-house,213,483,0.46236559748649597,0.5058823823928833,0.48412400484085083
in-house,214,533,0.33636364340782166,0.7749999761581421,0.5556818246841431
in-house,215,483,0.46236559748649597,0.44565218687057495,0.45400887727737427
in-house,216,483,0.46236559748649597,0.7692307829856873,0.6157981753349304
in-house,217,533,0.380952388048172,0.5,0.4404761791229248
in-house,218,533,0.380952388048172,0.8888888955116272,0.6349206566810608
in-house,219,533,0.2708333432674408,1.0,0.6354166865348816
in-house,220,533,0.33636364340782166,0.5876288414001465,0.46199625730514526
in-house,221,533,0.33636364340782166,0.6470588445663452,0.49171125888824463
in-house,222,93,0.5154638886451721,0.4941176474094391,0.5047907829284668
in-house,223,352,0.29411765933036804,0.7692307829856873,0.5316742062568665
in-house,224,533,0.3272727131843567,0.7777777910232544,0.5525252819061279
in-house,225,483,0.46236559748649597,0.9821428656578064,0.72225421667099
in-house,226,533,0.33636364340782166,0.7564102411270142,0.5463869571685791
in-house,227,483,0.46236559748649597,0.5060241222381592,0.48419487476348877
in-house,228,93,0.4528301954269409,0.44155845046043396,0.44719433784484863
in-house,229,418,0.5243902206420898,0.5844155550003052,0.5544028878211975
in-house,230,533,0.302752286195755,0.8399999737739563,0.5713761448860168
in-house,231,533,0.33636364340782166,0.7159090638160706,0.5261363387107849
in-house,232,93,0.39830508828163147,0.5844155550003052,0.49136030673980713
in-house,233,93,0.39814814925193787,0.5844155550003052,0.4912818670272827
in-house,234,352,0.43119266629219055,0.3645833432674408,0.3978880047798157
in-house,235,533,0.302752286195755,0.8024691343307495,0.5526106953620911
in-house,236,533,0.24576270580291748,0.7307692170143127,0.4882659614086151
in-house,237,93,0.48543688654899597,0.5844155550003052,0.5349262356758118
in-house,238,533,0.33636364340782166,0.5670102834701538,0.4516869783401489
in-house,239,352,0.4736842215061188,0.478723406791687,0.4762037992477417
